Repo Name,URL,Category,Category,,Sub Category,Parent Category,,,
shaman-ai/agent-actors,https://github.com/shaman-ai/agent-actors,agent api,Software Development,,,,,,
sprenkamp/OnePieceGPT,https://github.com/sprenkamp/OnePieceGPT,chatbot/assistant,Software Development,,,,,,
sugarforever/LangChain-Tutorials,https://github.com/sugarforever/LangChain-Tutorials,underdeveloped,Underdeveloped,,,,,,
toanpv-0639/langchain-demo,https://github.com/toanpv-0639/langchain-demo,examples,Learning & Research,,,,,,
optimizeforall/Cbot,https://github.com/optimizeforall/Cbot,IM chatbot,Software Development,,,,,,
ttwj/open-carbon-viz,https://github.com/ttwj/open-carbon-viz,data visualization app,Software Development,,,,,,
vineetsingh09/AgriChat-DG,https://github.com/vineetsingh09/AgriChat-DG,chatbot/assistant,Software Development,,,,,,
vishwasg217/StudySage,https://github.com/vishwasg217/StudySage,academic app,Domain-Specific Applications,,,,,,
vtwoptwo/ai-hackathon,https://github.com/vtwoptwo/ai-hackathon,student project,Learning & Research,,,,,,
whitesj1030/fullstack-gpt,https://github.com/whitesj1030/fullstack-gpt,underdeveloped,Underdeveloped,,,,,,
wjurayj/web-assistant,https://github.com/wjurayj/web-assistant,underdeveloped,Underdeveloped,,,,,,
xmile1/xistant,https://github.com/xmile1/xistant,chatbot/assistant,Software Development,,,,,,
ycechungAI/GPT3-wellbeingAssist,https://github.com/ycechungAI/GPT3-wellbeingAssist,health app,Domain-Specific Applications,,,,,,
yeyu2/Drawing2Web,https://github.com/yeyu2/Drawing2Web,website app,Software Development,,,,,,
yeyu2/interviewform,https://github.com/yeyu2/interviewform,job interview app,Domain-Specific Applications,,,,,,
yiouyou/RePolyA,https://github.com/yiouyou/RePolyA,research,Learning & Research,,,,,,
vatdut8994/Crystal-Mark-I,https://github.com/vatdut8994/Crystal-Mark-I,chatbot/assistant,Software Development,,,,,,
noman-xg/GenAI-UseCases,https://github.com/noman-xg/GenAI-UseCases,backend api,Software Development,,,,,,
nl32/managefy,https://github.com/nl32/managefy,student project,Learning & Research,,,,,,
nasa-petal/bio-strategy-extractor,https://github.com/nasa-petal/bio-strategy-extractor,research,Learning & Research,,,,,,
directorBae/news_comment_analyzer,https://github.com/directorBae/news_comment_analyzer,data visualization app,Software Development,,,,,,
drew-wks/ASK,https://github.com/drew-wks/ASK,research,Learning & Research,,,,,,
eglisi1/axa_hackathon,https://github.com/eglisi1/axa_hackathon,student project,Learning & Research,,,,,,
emrgnt-cmplxty/automata-v0,https://github.com/emrgnt-cmplxty/automata-v0,underdeveloped,Underdeveloped,,,,,,
filipmihal/llm-crime-stories,https://github.com/filipmihal/llm-crime-stories,game app,Domain-Specific Applications,,,,,,
i-am-zach/ai-content-gen,https://github.com/i-am-zach/ai-content-gen,generator app,Domain-Specific Applications,,,,,,
idvorkin/nlp,https://github.com/idvorkin/nlp,tutorial,Learning & Research,,,,,,
intelligencegear/gpt-learn,https://github.com/intelligencegear/gpt-learn,underdeveloped,Underdeveloped,,,,,,
jacoballessio/Jacobot,https://github.com/jacoballessio/Jacobot,chatbot/assistant,Software Development,,,,,,
Alee02/langchain-sales-teacher,https://github.com/Alee02/langchain-sales-teacher,tutorial,Learning & Research,,,,,,
jbpayton/robot-writers-room,https://github.com/jbpayton/robot-writers-room,research,Learning & Research,,,,,,
jcsk/wc-rag-chat,https://github.com/jcsk/wc-rag-chat,agent api,Software Development,,,,,,
jogendrasinghgurjar/Semantic-Kernel-Workshop,https://github.com/jogendrasinghgurjar/Semantic-Kernel-Workshop,parking app,Domain-Specific Applications,,,,,,
johannesmichael/CAS-AML-final-public,https://github.com/johannesmichael/CAS-AML-final-public,research,Learning & Research,,,,,,
juankysoriano/gpt-producer,https://github.com/juankysoriano/gpt-producer,music app,Domain-Specific Applications,,,,,,
khangeqkai/GoogleResearchAgent,https://github.com/khangeqkai/GoogleResearchAgent,agent api,Software Development,,,,,,
krishnaik06/The-Grand-Complete-Data-Science-Materials,https://github.com/krishnaik06/The-Grand-Complete-Data-Science-Materials,examples,Learning & Research,,,,,,
kyzooghost/openai-embeddings-tute,https://github.com/kyzooghost/openai-embeddings-tute,examples,Learning & Research,,,,,,
langchain-ai/langchain-template-poe-fastapi,https://github.com/langchain-ai/langchain-template-poe-fastapi,underdeveloped,Underdeveloped,,,,,,
monarch-initiative/agent-smith-ai,https://github.com/monarch-initiative/agent-smith-ai,agent api,Software Development,,,,,,
mrspiggot/FinGPT,https://github.com/mrspiggot/FinGPT,underdeveloped,Underdeveloped,,,,,,
mruduljohn/InterPrep,https://github.com/mruduljohn/InterPrep,job interview app,Domain-Specific Applications,,,,,,
denisa-ms/azure-data-and-ai-examples,https://github.com/denisa-ms/azure-data-and-ai-examples,examples,Learning & Research,,,,,,
Afrineuron/Langchain_Bot,https://github.com/Afrineuron/Langchain_Bot,agent api,Software Development,,,,,,
zphang/llm_feedback,https://github.com/zphang/llm_feedback,underdeveloped,Underdeveloped,,,,,,
AbhinandanSingla/Flipify,https://github.com/AbhinandanSingla/Flipify,fashion app,Domain-Specific Applications,,,,,,
